Trial ID,Test Method,Item ID,Item Format,Item Name,Item Description Refined,Item Description Refined (Trial),Material Class I,Material Class II,Material Class III,Start Weight,% Residuals (Mass),% Residuals (Area)
CASP004-01,Mesh Bag,A6,Bowl,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,12 oz Hot cup / Soup bowl,Fiber,Lined Fiber,PLA lined Paper,8.11,0.0,
CASP004-01,Mesh Bag,A6,Bowl,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,12 oz Hot cup / Soup bowl,Fiber,Lined Fiber,PLA lined Paper,8.11,0.0,
CASP004-01,Mesh Bag,A6,Bowl,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,12 oz Hot cup / Soup bowl,Fiber,Lined Fiber,PLA lined Paper,8.11,1.8713522400328815,
CASP004-01,Mesh Bag,A6,Bowl,PLA-lined Paper Bowl 12oz,BÉSICS® 12 oz Soup bowl,12 oz Hot cup / Soup bowl,Fiber,Lined Fiber,PLA lined Paper,8.11,2.0448006576243323,
CASP004-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,"PLA-lined fibre bowl, white ",Fiber,Lined Fiber,PLA lined Bagasse,10.52,0.0,
CASP004-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,"PLA-lined fibre bowl, white ",Fiber,Lined Fiber,PLA lined Bagasse,10.52,0.0,
CASP004-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,"PLA-lined fibre bowl, white ",Fiber,Lined Fiber,PLA lined Bagasse,10.52,0.0,
CASP004-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,"PLA-lined fibre bowl, white ",Fiber,Lined Fiber,PLA lined Bagasse,10.52,1.668567807351078,
CASP004-01,Mesh Bag,A21,Box,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Lined paper food tray with lid,Fiber,Lined Fiber,PLA-lined fibre,29.76,4.493503584229392,
CASP004-01,Mesh Bag,A21,Box,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Lined paper food tray with lid,Fiber,Lined Fiber,PLA-lined fibre,29.76,2.241599462365591,
CASP004-01,Mesh Bag,A21,Box,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Lined paper food tray with lid,Fiber,Lined Fiber,PLA-lined fibre,29.76,1.1872759856630823,
CASP004-01,Mesh Bag,A21,Box,Paper Tray with Lid,BÉSICS® Lined Paper Box with Lid ,Lined paper food tray with lid,Fiber,Lined Fiber,PLA-lined fibre,29.76,2.0075044802867383,
CASP004-01,Mesh Bag,A25,Tray,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Uncoated paper food tray ,Fiber,Unlined Fiber,Paper,11.87,0.0,
CASP004-01,Mesh Bag,A25,Tray,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Uncoated paper food tray ,Fiber,Unlined Fiber,Paper,11.87,0.9620893007582141,
CASP004-01,Mesh Bag,A25,Tray,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Uncoated paper food tray ,Fiber,Unlined Fiber,Paper,11.87,0.0,
CASP004-01,Mesh Bag,A25,Tray,"Unlined Paper Tray, small",BÉSICS® Uncoated paper fry tray ,Uncoated paper food tray ,Fiber,Unlined Fiber,Paper,11.87,2.627351867452963,
CASP004-01,Mesh Bag,A36,Cold Cup,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,14.58,0.0,
CASP004-01,Mesh Bag,A36,Cold Cup,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,14.58,0.0,
CASP004-01,Mesh Bag,A36,Cold Cup,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,14.58,0.0,
CASP004-01,Mesh Bag,A36,Cold Cup,PLA Cold Cup 16oz,Fabrikal 16 oz PLA cold cup,16 oz PLA cold cup,Biopolymer,Rigid biopolymer,PLA,14.58,0.0,
CASP004-01,Mesh Bag,A11,Cutlery,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Cutlery,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.75,0.0,
CASP004-01,Mesh Bag,A11,Cutlery,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Cutlery,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.75,0.0,
CASP004-01,Mesh Bag,A11,Cutlery,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Cutlery,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.75,0.0,
